"","Name","Score","gene_names"
"1","ENSG00000105894",1.22942421965713e-05,"PTN"
"2","ENSG00000184697",2.18564305716823e-05,"CLDN6"
"3","ENSG00000110148",4.91769687862851e-05,"CCKBR"
"4","ENSG00000154118",8.7425722286729e-05,"JPH3"
"5","ENSG00000175928",0.000230858547913394,"LRRN1"
"6","ENSG00000158955",0.000307356054914282,"WNT9B"
"7","ENSG00000084628",0.000602417867631992,"NKAIN1"
"8","ENSG00000065618",0.000722628235776245,"COL17A1"
"9","ENSG00000180287",0.000786831500580562,"PLD5"
"10","ENSG00000143199",0.000923434191653576,"ADCY10"
"11","ENSG00000165125",0.000995833617922273,"TRPV6"
"12","ENSG00000080854",0.000995833617922273,"IGSF9B"
"13","ENSG00000142235",0.00114882863192405,"LMTK3"
"14","ENSG00000165323",0.00122942421965713,"FAT3"
"15","ENSG00000182107",0.00139881155658766,"TMEM30B"
"16","ENSG00000182674",0.00139881155658766,"KCNB2"
"17","ENSG00000169550",0.00148760330578512,"MUC15"
"18","ENSG00000110975",0.00157912710880404,"SYT10"
"19","ENSG00000272398",0.00167338296564442,"CD24"
"20","ENSG00000168830",0.00177037087630626,"HTR1E"
"21","ENSG00000104290",0.00187009084078956,"FZD3"
"22","ENSG00000118777",0.00207772693122054,"ABCG2"
"23","ENSG00000018236",0.00207772693122054,"CNTN1"
"24","ENSG00000189143",0.00252578375794003,"CLDN4"
"25","ENSG00000149418",0.00252578375794003,"ST14"
"26","ENSG00000128596",0.00264462809917355,"CCDC136"
"27","ENSG00000137648",0.00289051294310498,"TMPRSS4"
"28","ENSG00000059804",0.00314732600232225,"SLC2A3"
"29","ENSG00000182272",0.00330441909705621,"B4GALNT4"
"30","ENSG00000196218",0.0035530359948091,"RYR1"
"31","ENSG00000172461",0.0035530359948091,"FUT9"
"32","ENSG00000137747",0.00398333447168909,"TMPRSS13"
"33","ENSG00000101542",0.00428386039204972,"CDH20"
"34","ENSG00000170837",0.00428386039204972,"GPR27"
"35","ENSG00000174871",0.00443822143296223,"CNIH2"
"36","ENSG00000181790",0.00443822143296223,"ADGRB1"
"37","ENSG00000167642",0.00475513967625162,"SPINT2"
"38","ENSG00000132681",0.00508298613482686,"ATP1A4"
"39","ENSG00000171631",0.00542176080868793,"P2RY6"
"40","ENSG00000132164",0.00577146369783485,"SLC6A11"
"41","ENSG00000196376",0.00577146369783485,"SLC35F1"
"42","ENSG00000188984",0.00613209480226761,"AADACL3"
"43","ENSG00000118298",0.00631650843521618,"CA14"
"44","ENSG00000108379",0.0065036541219862,"WNT3"
"45","ENSG00000268964",0.0065036541219862,"ERVV-2"
"46","ENSG00000167608",0.00669353186257769,"TMC4"
"47","ENSG00000105131",0.00688614165699064,"EPHX3"
"48","ENSG00000150394",0.00708148350522505,"CDH8"
"49","ENSG00000237515",0.00896250256130046,"SHISA9"
"50","ENSG00000167664",0.00963868588211188,"TMIGD2"
"51","ENSG00000121871",0.0105785123966942,"SLITRK3"
"52","ENSG00000105699",0.0105785123966942,"LSR"
"53","ENSG00000170419",0.0108202991598934,"VSTM2A"
"54","ENSG00000109956",0.0110648179769141,"B3GAT1"
"55","ENSG00000163630",0.0115620517724199,"SYNPR"
"56","ENSG00000018625",0.011814766750905,"ATP1A2"
"57","ENSG00000182985",0.0120702137832115,"CADM1"
"58","ENSG00000181562",0.0123283928693395,"EDDM3A"
"59","ENSG00000146904",0.012589304009289,"EPHA1"
"60","ENSG00000205277",0.012589304009289,"MUC12"
"61","ENSG00000001626",0.0128529472030599,"CFTR"
"62","ENSG00000165970",0.0131193224506523,"SLC6A5"
"63","ENSG00000175318",0.0133884297520661,"GRAMD2A"
"64","ENSG00000184985",0.0136602691073014,"SORCS2"
"65","ENSG00000185818",0.0139348405163582,"NAT8L"
"66","ENSG00000253313",0.0144921794959361,"C1orf210"
"67","ENSG00000055732",0.0147749470664572,"MCOLN3"
"68","ENSG00000169894",0.0150604466907998,"MUC3A"
"69","ENSG00000171126",0.0150604466907998,"KCNG3"
"70","ENSG00000144847",0.0156396421009494,"IGSF11"
"71","ENSG00000162490",0.0162297657263848,"DRAXIN"
"72","ENSG00000129951",0.0165289256198347,"PLPPR3"
"73","ENSG00000146555",0.0168308175671061,"SDK1"
"74","ENSG00000273820",0.0171354415681989,"USP27X"
"75","ENSG00000145103",0.0174427976231132,"ILDR1"
"76","ENSG00000159248",0.0174427976231132,"GJD2"
"77","ENSG00000177511",0.0177528857318489,"ST8SIA3"
"78","ENSG00000141837",0.0177528857318489,"CACNA1A"
"79","ENSG00000169876",0.0183812581107848,"MUC17"
"80","ENSG00000014257",0.0186995423809849,"ACP3"
"81","ENSG00000147003",0.0190205587050065,"CLTRN"
"82","ENSG00000081138",0.019670787514514,"CDH7"
"83","ENSG00000167600",0.02,"CYP2S1"
"84","ENSG00000094975",0.0203319445393074,"SUCO"
"85","ENSG00000168412",0.0203319445393074,"MTNR1A"
"86","ENSG00000198515",0.0206666211324363,"CNGA1"
"87","ENSG00000104783",0.0210040297793867,"KCNN4"
"88","ENSG00000082556",0.0213441704801585,"OPRK1"
"89","ENSG00000134755",0.0216870432347517,"DSC2"
"90","ENSG00000188037",0.0216870432347517,"CLCN1"
"91","ENSG00000085552",0.0223809849054026,"IGSF9"
"92","ENSG00000112796",0.0227320538214603,"ENPP5"
"93","ENSG00000162738",0.0230858547913394,"VANGL2"
"94","ENSG00000131398",0.02344238781504,"KCNC3"
"95","ENSG00000121753",0.0241636500239055,"ADGRB2"
"96","ENSG00000164626",0.0241636500239055,"KCNK5"
"97","ENSG00000154080",0.0245283792090704,"CHST9"
"98","ENSG00000179178",0.0245283792090704,"TMEM125"
"99","ENSG00000130208",0.0248958404480568,"APOC1"
"100","ENSG00000042980",0.0248958404480568,"ADAM28"
"101","ENSG00000105707",0.0252660337408647,"HPN"
"102","ENSG00000029534",0.025638959087494,"ANK1"
"103","ENSG00000170522",0.0260146164879448,"ELOVL6"
"104","ENSG00000177807",0.0260146164879448,"KCNJ10"
"105","ENSG00000226887",0.0275445666279626,"ERVMER34-1"
"106","ENSG00000068078",0.0283259340209002,"FGFR3"
"107","ENSG00000131650",0.0287207157981012,"KREMEN2"
"108","ENSG00000196660",0.0291182296291237,"SLC30A10"
"109","ENSG00000154764",0.0295184755139676,"WNT7A"
"110","ENSG00000033170",0.0296414179359333,"FUT8"
"111","ENSG00000275591",0.029921453452633,"XKR5"
"112","ENSG00000171951",0.029921453452633,"SCG2"
"113","ENSG00000158457",0.0303271634451199,"TSPAN33"
"114","ENSG00000171517",0.0307356054914282,"LPAR3"
"115","ENSG00000150471",0.0307356054914282,"ADGRL3"
"116","ENSG00000056291",0.0315606857455092,"NPFFR2"
"117","ENSG00000064270",0.0319773239532819,"ATP2C2"
"118","ENSG00000118640",0.0332436308995287,"VAMP8"
"119","ENSG00000149328",0.035408783553036,"GLB1L2"
"120","ENSG00000140015",0.0358500102452018,"KCNH5"
"121","ENSG00000278023",0.0358500102452018,"RDM1"
"122","ENSG00000271079",0.0362939689911891,"CTAGE15"
"123","ENSG00000159618",0.0367406597909979,"ADGRG5"
"124","ENSG00000188338",0.0371900826446281,"SLC38A3"
"125","ENSG00000188910",0.0376422375520798,"GJB3"
"126","ENSG00000258986",0.0380971245133529,"TMEM179"
"127","ENSG00000167654",0.0385547435284475,"ATCAY"
"128","ENSG00000261949",0.0390150945973636,"GFY"
"129","ENSG00000153898",0.0394781777201011,"MCOLN2"
"130","ENSG00000163377",0.0413578307492658,"TAFA4"
"131","ENSG00000165349",0.0423140495867769,"SLC7A3"
"132","ENSG00000187135",0.0432811966395738,"VSTM2B"
"133","ENSG00000124493",0.0437688682467045,"GRM4"
"134","ENSG00000213937",0.0442592719076566,"CLDN9"
"135","ENSG00000172116",0.0447524076224302,"CD8B"
"136","ENSG00000169495",0.0452482753910252,"HTRA4"
"137","ENSG00000100678",0.0457468752134417,"SLC8A3"
"138","ENSG00000175229",0.0467522710197391,"GAL3ST3"
"139","ENSG00000105492",0.0477685950413223,"SIGLEC6"
"140","ENSG00000129159",0.0493135714773581,"KCNC1"
"141","ENSG00000134198",0.0498340277303463,"TSPAN2"
